Region,Country,Name,Style,Substyle,IBU,Rating,ABV,Price,Volume_Per_Container,Bottles_Per_Unit
CANADA,CANADA,MT BEGBIE - DARK SIDE OF THE STOKE COFFEE STOUT,STOUT,OATMEAL,22,3.57,4.8,5.1,0.65,1
CANADA,CANADA,MCAUSLAN - ST AMBROISE PUMPKIN ALE,SPECIALTY,PUMPKIN,18,3.49,5,8.95,0.341,4
CANADA,CANADA,LABATT - ROLLING ROCK CAN,LAGER,AMERICAN ADJUNCT,5,2.78,4.5,12.49,0.355,6
CANADA,CANADA,STANLEY PARK - WINDSTORM TALL CAN,PALE ALE,AMERICAN PALE ALE,35,3.53,5.7,2.45,0.5,1
CANADA,CANADA,RUSSELL - A WEE ANGRY SCOTCH ALE,STRONG ALE,SCOTCH ALE,30,3.69,6.5,5.95,0.65,1
EUROPE,ITALY,MORETTI,LAGER,PALE LAGER,12,3.1,4.6,12.95,0.33,6
CANADA,CANADA,WHISTLER - WINTER DUNKEL,WHEAT,DUNKELWEIZEN,24,3.71,5,5.75,0.65,1
USA,UNITED STATES OF AMERICA,NEW BELGIUM - FAT TIRE AMBER ALE,RED ALE,AMERICAN AMBER,22,3.58,5.2,14.5,0.355,6
CANADA,CANADA,BOWEN ISLAND - TWISTED TRAIL EXTRA PALE ALE,PALE ALE,AMERICAN PALE ALE,NA,3.04,5,8.89,0.355,6
CANADA,CANADA,BIG SURF - LAID BACK LAGER CAN,LAGER,PALE LAGER,NA,2.9,5,8.29,0.355,6
CANADA,CANADA,PHILLIPS - SLIPSTREAM CREAM ALE,HYBRID,CREAM ALE,NA,3.5,5,11.99,0.341,6
CANADA,CANADA,FERNIE - FIRST TRAX  BROWN ALE CAN,BROWN ALE,ENGLISH BROWN ALE,14,3.49,5,11.95,0.355,6
CANADA,CANADA,MICHELOB - ULTRA SLIM CAN,LAGER,AMERICAN LIGHT LAGER,10,2.38,4,21.99,0.355,12
